StopID;Street;Longitude;Latitude;Municipality
12016;Activa Ave;-80.51526201;43.402828;Kitchener
12014;Activa Ave;-80.50979696;43.40307703;Kitchener
13670;Activa Ave;-80.508928;43.413217;Kitchener
12054;Activa Ave;-80.52013499;43.40337502;Kitchener
12056;Activa Ave;-80.51444799;43.40248002;Kitchener
12055;Activa Ave;-80.51806703;43.40274803;Kitchener
10540;Ainslie Terminal;-80.31349995;43.35733401;Cambridge
10543;Ainslie Terminal;-80.31319103;43.35766696;Cambridge
10544;Ainslie Terminal;-80.312972;43.35762603;Cambridge
10545;Ainslie Terminal;-80.31274996;43.35758104;Cambridge
10547;Ainslie Terminal;-80.31295397;43.35727599;Cambridge
10548;Ainslie Terminal;-80.31308301;43.35713002;Cambridge
10549;Ainslie Terminal;-80.31319398;43.35701699;Cambridge
12017;Activa Ave;-80.51793796;43.40288198;Kitchener
12058;Activa Ave;-80.51025799;43.40256703;Kitchener
12046;Activa Ave;-80.51003002;43.41045998;Kitchener
14867;Airport Rd;-80.38609711;43.45581779;Woolwich
10181;Albert St;-80.54138505;43.48814999;Waterloo
10182;Albert St;-80.53916294;43.49054201;Waterloo
10161;Albert St;-80.53949698;43.49053498;Waterloo
10162;Albert St;-80.54156503;43.48763802;Waterloo
10160;Albert St;-80.537553;43.49155504;Waterloo
13386;Allen Station;-80.518345;43.459849;Waterloo
13385;Allen Station;-80.518389;43.459829;Waterloo
12111;Alpine Rd;-80.48308252;43.42498098;Kitchener
12112;Alpine Rd;-80.482965;43.425294;Kitchener
12855;Arthur St S;-80.56154998;43.589433;Woolwich
12845;Arthur St S;-80.56071292;43.59452689;Woolwich
13134;Arthur St S;-80.56245428;43.58092782;Woolwich
13133;Arthur St S;-80.56278738;43.58078254;Woolwich
12923;Arthur St S;-80.5609297;43.59256677;Woolwich
12870;Arthur St S;-80.55524722;43.55407005;Woolwich
12869;Arthur St S;-80.55536652;43.554798;Woolwich
12846;Arthur St S;-80.56009518;43.59670037;Woolwich
12841;Arthur St S;-80.56303297;43.57685001;Woolwich
12858;Arthur St S;-80.56321703;43.577283;Woolwich
12848;Arthur St S;-80.55813507;43.59933544;Woolwich
12844;Arthur St S;-80.56143295;43.58905004;Woolwich
12939;Arthur St S;-80.55867874;43.56160072;Woolwich
12940;Arthur St S;-80.55868863;43.56113;Woolwich
12872;Arthur St S;-80.56147203;43.56708801;Woolwich
12871;Arthur St S;-80.56128496;43.56713186;Woolwich
12843;Arthur St S;-80.56208299;43.58405003;Woolwich
12856;Arthur St S;-80.5622535;43.58448208;Woolwich
12847;Arthur St S;-80.55915844;43.59796465;Woolwich
10224;Bathurst Dr;-80.53394798;43.51024497;Waterloo
10842;Battler Rd;-80.46143702;43.39597;Kitchener
14952;Bearinger Rd;-80.54599417;43.4855887;Waterloo
13996;Beasley Dr;-80.45771906;43.40178948;Kitchener
14002;Beasley Dr;-80.45760049;43.40201743;Kitchener
14614;Beaver Creek Rd;-80.57954926;43.47159891;Waterloo
10784;Bechtel Dr;-80.44437699;43.38999798;Kitchener
10856;Bechtel Dr;-80.43992597;43.39195702;Kitchener
10864;Bechtel Dr;-80.44041696;43.39183204;Kitchener
10742;Bechtel Dr;-80.44488299;43.38997703;Kitchener
10783;Bechtel Dr;-80.44852803;43.38913698;Kitchener
10743;Bechtel Dr;-80.44937203;43.38972199;Kitchener
11750;Belmont Ave W;-80.51296499;43.44503696;Kitchener
11820;Belmont Ave W;-80.51414801;43.44773303;Kitchener
11749;Belmont Ave W;-80.51428796;43.447603;Kitchener
12954;Belmont Ave W;-80.51720006;43.45198053;Kitchener
11821;Belmont Ave W;-80.51574197;43.45016003;Kitchener
11822;Belmont Ave W;-80.51683001;43.45180796;Kitchener
11747;Belmont Ave W;-80.516159;43.450409;Kitchener
11815;Belmont Ave W;-80.50797299;43.44002296;Kitchener
11754;Belmont Ave W;-80.50836295;43.44014797;Kitchener
11819;Belmont Ave W;-80.51288199;43.445182;Kitchener
11753;Belmont Ave W;-80.50950203;43.44114702;Kitchener
11816;Belmont Ave W;-80.50913304;43.44103497;Kitchener
11744;Belmont Ave W;-80.51904703;43.45490103;Kitchener
14027;Belmont Ave W;-80.51887539;43.45502485;Kitchener
11751;Belmont Ave W;-80.512007;43.44323498;Kitchener
11818;Belmont Ave W;-80.51195296;43.44347998;Kitchener
14006;Benjamin Rd;-80.55488309;43.50735209;Woolwich
10094;Benton St;-80.488354;43.448576;Kitchener
13796;Benton St;-80.488374;43.448145;Kitchener
14092;Benton St;-80.48982529;43.44683396;Kitchener
14914;Benton St;-80.48997314;43.44689701;Kitchener
10844;Biehn Dr;-80.45550004;43.396023;Kitchener
10868;Biehn Dr;-80.45536296;43.39548003;Kitchener
10845;Biehn Dr;-80.45555204;43.39439999;Kitchener
13527;Bingemans Centre Dr;-80.45251999;43.47078272;Kitchener
13526;Bingemans Centre Dr;-80.45220089;43.4710181;Kitchener
13528;Bingemans Centre Dr;-80.448842;43.471633;Kitchener
13139;Bingemans Centre Dr;-80.443374;43.473667;Kitchener
13532;Bingemans Centre Dr;-80.441375;43.472313;Kitchener
13529;Bingmans Centre Dr;-80.449368;43.471708;Kitchener
13530;Bingmans Centre Dr;-80.445577;43.472941;Kitchener
13531;Bingmans Centre Dr;-80.455471;43.472831;Kitchener
10853;Black Walnut Dr;-80.45514795;43.393135;Kitchener
10867;Black Walnut Dr;-80.45525696;43.393253;Kitchener
10855;Black Walnut Dr;-80.45067203;43.39135996;Kitchener
10865;Black Walnut Dr;-80.45118196;43.39151303;Kitchener
13691;Bleams Rd;-80.693748;43.376393;Wilmot
10896;Bleams Rd;-80.46669197;43.408783;Kitchener
10879;Bleams Rd;-80.46560999;43.40889795;Kitchener
13983;Bleams Rd;-80.47893395;43.40600965;Kitchener
13979;Bleams Rd;-80.47871331;43.40582758;Kitchener
12678;Bleams Rd;-80.45779441;43.41101323;Kitchener
12677;Bleams Rd;-80.45691516;43.41107055;Kitchener
10895;Bleams Rd;-80.45991699;43.41048699;Kitchener
10880;Bleams Rd;-80.45988704;43.41035001;Kitchener
10882;Bleams Rd;-80.45009995;43.41254699;Kitchener
10881;Bleams Rd;-80.45240497;43.41221199;Kitchener
10894;Bleams Rd;-80.45263699;43.41228999;Kitchener
13985;Bleams Rd;-80.49130866;43.40301161;Kitchener
13982;Bleams Rd;-80.47450579;43.40701054;Kitchener
13980;Bleams Rd;-80.47421798;43.40687287;Kitchener
13984;Bleams Rd;-80.48592753;43.40431606;Kitchener
13978;Bleams Rd;-80.48489496;43.40437849;Kitchener
13977;Bleams Rd;-80.49186327;43.40271379;Kitchener
13914;Block Line Rd;-80.47626195;43.41715201;Kitchener
13698;Block Line Rd;-80.476023;43.417036;Kitchener
13807;Block Line Rd;-80.462311;43.422098;Kitchener
14052;Block Line Rd;-80.46273958;43.42209454;Kitchener
13703;Block Line Rd;-80.4666;43.419023;Kitchener
13954;Block Line Rd;-80.466868;43.418728;Kitchener
13699;Block Line Rd;-80.473347;43.417681;Kitchener
13953;Block Line Rd;-80.473667;43.417796;Kitchener
11946;Block Line Rd;-80.49148299;43.41276803;Kitchener
11939;Block Line Rd;-80.49216719;43.41249082;Kitchener
13840;Block Line Rd;-80.46473223;43.41999448;Kitchener
12544;Block Line Rd;-80.465066;43.420062;Kitchener
11943;Block Line Rd;-80.48033802;43.41574;Kitchener
13952;Block Line Rd;-80.479418;43.415981;Kitchener
12968;Block Line Rd;-80.4990788;43.41125099;Kitchener
12967;Block Line Rd;-80.49896407;43.41151206;Kitchener
13402;Block Line Station;-80.462926;43.422825;Kitchener
13401;Block Line Station;-80.463085;43.422733;Kitchener
11490;Bloomingdale Rd N;-80.47749501;43.48110701;Kitchener
11487;Bloomingdale Rd N;-80.46885497;43.48416496;Kitchener
11489;Bloomingdale Rd N;-80.47528498;43.48185499;Kitchener
11488;Bloomingdale Rd N;-80.47111997;43.48331797;Kitchener
13803;Borden Ave S;-80.47431;43.442344;Kitchener
13802;Borden Ave S;-80.474109;43.442297;Kitchener
13398;Borden Station;-80.475361;43.442419;Kitchener
13397;Borden Station;-80.475368;43.442387;Kitchener
13695;Boullee St;-80.700853;43.380599;Wilmot
14771;Breslau Community Centre;-80.41657156;43.47164147;Woolwich
11478;Bridge St E;-80.47828196;43.48045703;Kitchener
11479;Bridge St E;-80.47419495;43.47895299;Kitchener
11480;Bridge St E;-80.47187203;43.47812702;Kitchener
11477;Bridge St E;-80.48029797;43.48120702;Kitchener
11491;Bridge St E;-80.47974999;43.48111495;Kitchener
12808;Bridge St W;-80.50698632;43.50144229;Waterloo
13218;Bridge St W;-80.492205;43.48794;Waterloo
11061;Bridge St W;-80.488414;43.485413;Waterloo
10975;Bridge St W;-80.488587;43.485339;Waterloo
12696;Bridge St W;-80.49772698;43.49290197;Waterloo
12703;Bridge St W;-80.497805;43.492771;Waterloo
13214;Bridge St W;-80.501262;43.496208;Waterloo
12702;Bridge St W;-80.501281;43.495943;Waterloo
10959;Bridge St W;-80.509198;43.503574;Waterloo
13213;Bridge St W;-80.509782;43.503952;Waterloo
12955;Bridge St W;-80.52253964;43.51199029;Waterloo
13205;Bridge St W;-80.517908;43.509083;Waterloo
